Stock_Ticker,Decision_Date,Category,"SM_[-60,-30)_[-20,5)_NBS"
AAPL,"October 19, 2015",TJ|T100|TVA|TVJ|TV100,0.00957505935267|0.00211100317729|0.0110716786624|0.0115595539535|-0.00128258444819|0.0140724911507|-0.0303801231357|-0.0119048819197|-0.00904404386061|-0.0111630298327|-0.0184869270095|0.0101540869701|-0.014509158954|-0.0224395965436|0.0237716051451|-0.00497490807345|0.0108519970356|-0.007061749283|-0.00411232041481|-0.012370693123|0.00645718687371|0.0206666436623|0.00893362745264|-0.00576894688614|0.017207798434@0.0158351696884
ILMN,"June 19, 2013",TJ|T100|TVA|TVJ|TV100,-0.0145801979109|-0.0165310709354|0.00635940945364|-0.01409025215|0.00177720116419|0.000587114584193|-0.00655146135144|0.00721922911068|-0.00780198991178|-0.00940708325709|0.00860447591988|-0.0177750761824|-0.0189569467044|-0.00859434617|-0.00215993885544|-0.00358337225767|-0.0285228663243|0.00904548260811|0.0178652160378|-0.00540984305106|0.00448843044349|0.0284291915765|-0.00158530138115|0.0516713842115|-0.00322416876233@0.0222857192972
HPQ,"October 7, 2016",TJ|T100,-0.00171502240171|0.0152343610546|0.000400360318891|0.00622893837244|-0.000294327624877|0.00745559764689|0.00108201945493|-0.0021344796747|0.0122519685891|-0.00190478502755|0.00594582376209|0.00742485276388|0.010686750343|0.0012776752525|0.00709310943663|-0.00342333936716|0.0107865563031|-0.0113740242978|0.00981275548603|-0.00369822984139|0.00341924687433|-0.00819354340809|0.00958222086003|-0.0085891439766|-0.00865502656659@0.00688211411981
AVP,"November 18, 2011",TJ|T100|TVA|TVJ|TV100,0.0168165692011|0.00549780225525|-0.0100071973503|-0.0116923730579|-0.238001579499|0.00520538685515|-0.00276831505846|-0.00117390029774|-0.00615866534504|0.0059622814072|0.021632710018|0.00558442667103|0.00237586228941|0.0224613643015|-0.0218547761132|-0.0135535897055|-0.00867907867028|-0.0172789441866|0.0150550978022|-0.00696644291704|-0.010616555783|0.0142470860096|0.000143468641646|0.0127052011537|-0.0127722687566@0.00966454758952
AAPL,"September 14, 2016",TJ|T100|TVA|TVJ|TV100,0.00039397530815|-0.00518608134433|-0.00526341687439|0.00122602807039|-0.0101517777883|-0.000688346758242|-0.00628463953485|-0.00615725484547|-0.00691040080497|-0.00700914876479|-0.00891044842942|0.000593396378286|0.00350606871202|0.00373510929155|-0.00481337437114|0.00379318396726|-0.027309379885|-0.00800741730036|0.0096066814738|0.0314753955973|0.0326610951376|0.0239575100456|-0.00525846651149|-0.0142440983983|-0.00250300718637@0.0137021967551
TGT,"November 6, 2012",TJ|T100|TVA|TVJ,0.00741974691965|-0.00232118322429|-0.0138724433598|-0.00173067910932|-0.0238446847779|0.00498000691795|0.000261837768216|0.0122645896245|-0.000582709242213|-0.00130167689662|-0.00489805229706|-0.00122503891518|0.0121065765039|0.00341422914312|0.00250265106968|0.0119968910571|-0.00350626805928|-0.0181488077609|-0.000629706293325|0.00921208741404|-0.00438205616341|-0.000409035647677|-0.0111645651919|0.00200976721026|-0.00183338952425@0.00831587959599
DE,"November 25, 2013",TJ|T100,-0.000676660681958|-0.011604660392|-0.00151090590395|-0.00183849180978|-0.00259557306538|0.001079426898|0.00297372882886|-0.00160935497698|0.00506842286842|-0.00682961781407|0.00545556174976|0.00540722188599|0.00555483921376|-0.00142599060714|-0.0014453931326|0.0130019780178|-0.00789863892553|0.0232696905206|-0.011156710417|0.00935837738415|0.00061475512495|-0.00897906910867|-0.000650765935736|0.0067339247282|-0.00185910510831@0.00810838541732
WDC,"July 26, 2011",TJ|T100|TVA|TVJ|TV100,-0.0155547262219|0.00709957265683|0.00235581813477|0.00410821808908|-0.00739508624316|0.00787434528737|0.0180908414474|0.0202107862918|0.0118702439158|-0.00964307719594|0.0031464170034|0.00606500153355|0.00546203750561|0.00178485791762|-0.00137198894602|0.0103549701034|0.0130316121369|-0.0940800972669|0.0818556238954|-0.020649774093|-0.00470593986849|0.0017585934373|0.00177089637206|-0.0139171714681|0.0107948309032@0.0105185458678
MSFT,"May 15, 2008",TJ|T100,0.00717720955836|0.0157833025838|0.0127025801781|-0.00214311584064|0.0396946386317|0.00622496247456|-0.0734046609403|-0.0294884518891|-0.00912697098764|0.000685386738214|0.0102594866532|-0.00879439680902|-0.00164240295875|0.012198861403|-0.000322471912356|0.00378040395227|0.00514230249006|0.00890098450785|-0.00420850596601|0.00234808219929|0.004725273013|-0.0168077569053|-0.021139140367|-0.0170512886422|-0.00244322011246@0.0122388527791
MMM,"November 30, 2012",TJ|TVA|TVJ,0.00966649081348|0.00593467443704|0.00587934948367|0.0074194070289|0.00572213588256|0.00270348497394|0.00285487808616|0.00414897097515|0.00286096863813|-0.0066419492556|0.0104152289758|0.00157369203894|-0.00596123119782|0.000782031748058|-0.00190724657006|0.00304987040701|0.000611912619642|0.00795386408953|8.5571672122e-05|-0.00669609938495|0.00384131843613|-0.00182729897167|6.12753353843e-05|0.00615976903303|-0.00033683519431@0.0065182300015
DUK,"October 3, 2016",TJ|T100,0.0120087766589|0.00931557221091|-0.00426894721317|0.0040714028271|-0.0349146419457|0.0173463450281|-0.00525632387412|-0.000833691172682|0.00545035082539|0.00768586896159|0.0113006597877|-0.00292786795645|0.0218326966029|0.00799152429312|0.000903236905201|-0.00366402265163|-0.00823042023446|-0.00346597497907|-0.00894214849611|-0.00281881327037|-0.0112132922762|-0.0200492564226|-0.00418372387666|0.000671205593315|-0.00602287919379@0.00914845240221
AMZN,"January 23, 2014",TJ,-0.0119162478704|-0.0166040444874|-0.000264670746724|-0.01849892244|-0.0144532115751|0.00121183704728|0.0146182984632|-0.00640130868884|-0.0041011607287|-0.00420283918957|0.00640088419977|-0.00647676323792|-0.0167943604885|0.00738234118055|-0.00825778547604|-0.018010719167|-0.000417393328579|0.0153062082415|0.00960075753934|-0.0103908231619|0.00221615281577|0.00975598595327|0.0037223016221|0.00593792592705|-0.00955762289178@0.0185025380355
MSFT,"March 19, 2014",TJ|T100,0.006701609627|0.000939202426323|0.00609637452718|-0.0128295898746|-0.00455861672741|-0.0027737268416|0.00542097011093|0.00898709804161|-0.00931061816022|0.00482314132102|-0.00941038950613|-0.00159412159106|-0.00777041314049|-0.00256501868275|0.00826040962005|0.00548148050126|-0.00207886760592|-0.0037064994161|0.00137760260289|0.0322708950359|-0.00381649402072|0.0212435161061|-0.00206827894604|0.0107861467121|-0.00850357367304@0.014822367157
AMZN,"April 15, 2011",TJ|T100,0.00441676902154|-0.00197609005209|-0.00190023370434|0.0169025948067|0.024658661804|-0.000679936284629|-0.00129664621682|0.0251831806122|0.0213827207429|0.0106024744006|-0.00172873145346|0.0188491884427|0.017600900893|-0.0138710349543|0.0201387087953|0.00872909426974|0.00551369813194|-0.00363577466635|0.0147050504939|0.000886342534224|-0.0108716006906|0.0122476510189|-0.00131696484458|0.0120920378725|0.00787213531224@0.0192271941672
CSCO,"May 12, 2016",TJ|T100|TVA|TVJ|TV100,0.000551940862743|-0.0113867121801|0.00273768794786|0.00147693331593|0.0027505712641|-0.00138676460535|-0.00329676124968|0.00457949498863|0.00606824506546|0.00434957818317|-0.0143709924216|-0.0112601701445|-0.0129575930604|-0.00955327572753|-0.00987458173487|-0.00863300690296|0.00811937812102|-0.00174337713586|0.0060879661588|-0.00232376731929|-0.00154003961399|0.00400458257547|0.00583177968369|-0.00199867237003|0.00220481085696@0.0064831546744
MRVL,"December 26, 2012",TJ|T100,0.00757068841634|0.0126211570816|-0.0150800115557|0.00115927293687|0.0190619128596|0.023606085594|0.00675598818585|0.010839078683|-0.0121481154996|-0.0176581671346|-0.00486687362734|-0.0169990836603|0.00053653072745|-0.00419138477214|-0.0111227430572|0.0124294554245|0.0306192939803|-0.0408581820957|0.0110055860734|-0.00081659327965|-0.0960452056506|-0.029805814692|0.0323824996423|-0.0240211786435|-0.0384738735374@0.0264840617932
