Stock_Ticker,Decision_Date,Category,"MM_[-60,-30)_[-20,5)_NBS"
VLO,"November 25, 2013",TJ|T100,0.000569348856362|0.0158572788696|0.0337173572906|0.0070421215524|-0.00626609180268|0.00660028141497|0.00589013664059|-0.034487242343|-0.0056645253744|0.000104894021509|0.00183440769998|0.0312689480706|-0.00317900702928|0.0312827371035|0.00375233483838|0.000410167135885|-0.0116777685873|-0.00110340919404|-0.00275783207428|0.0297475778225|0.015719431816|-0.00129033859868|0.033228927479|-0.00217554125804|0.0302256931774@0.0132267383559
USB,"November 25, 2013",TJ|T100,-0.00271974086035|-0.00264647471073|-0.00189737012067|-0.00489648155468|-0.00504662586541|0.00321199750695|0.00748762106174|-0.000866556791516|-0.000957467512048|0.00199455833262|-0.0035939248821|0.00277415144976|0.000231332847924|-0.000714505617627|-0.000948512923144|0.000754041884993|0.00837724344819|0.00592787183694|-0.00257811144567|-0.00300965363751|0.00731541204765|0.00612124135729|0.0010705078552|-0.000905875658306|-0.00158056560408@0.00647825644867
GILD,"January 26, 2017",TJ|T100|TVA|TVJ|TV100,0.0022766095543|0.00534962315914|-0.00329945541323|0.00588208340565|0.0275258967109|0.0204181140328|0.00393803751099|-0.00558213302495|0.0144852925249|-0.010787835868|-0.0159654352216|0.00393187840608|-0.00509266538141|-0.00305877224572|0.00360664739932|0.00300278450954|-0.00834674289563|0.00392614164927|-0.0149959136485|0.015399446277|-0.00255499569333|0.00633465522501|0.0189275956229|0.0154244854471|0.0089380549161@0.0123950532971
EBAY,"January 16, 2015",TJ|T100,-0.0111761811978|-0.0132183063491|-0.0134010226899|-1.5403895933e-05|-0.00588801009769|-0.00112333088448|-0.00352167545123|-0.000822339233905|0.00887921478823|-0.00606773211562|-0.00123421234549|0.0143028087957|-0.00646774082875|-0.0145308232452|0.00484489125615|-0.00453978819646|0.0032850034571|0.0023831376318|-0.011888115796|-0.0127610857524|-0.000916311450182|-0.00550675453403|-0.0167552708312|0.052817009027|0.00127166289464@0.00617852432925
IBM,"February 23, 2011",TJ|T100|TVA|TVJ|TV100,0.0133397269512|-0.000820541520749|0.000276768606712|0.00506975267067|0.0105331456981|-0.00253436536861|-0.000340262599105|-0.00116832370346|-0.00156293041664|0.00289696093283|0.00846766089788|-0.00579040618481|-0.00343883527636|-0.00295727274238|-0.00569282652782|0.0020188513893|0.000442627490152|0.00516829948334|0.00245576638858|0.00156220271308|-0.00598315914303|0.00624958088508|0.00391057368487|-0.00690515871925|0.00455159916713@0.00491440685574
MGI,"September 24, 2009",TJ|T100|TVA|TVJ|TV100,0.0148793503684|-0.00295979569419|-0.0258147928225|-0.00372845838644|-0.0124173247305|-0.0197884158355|0.00360965674333|0.0520753465752|0.0699225631016|0.073436649779|-0.0229659619788|0.000608496274817|-0.0265493829656|-0.0188727729379|-0.0255381929048|-0.00211398391118|-0.00012411723623|-0.00362034706407|-0.0334885033326|-0.00996475321047|-0.0135337012555|-0.0337263551628|0.0420534573907|0.0307507009531|0.021405219972@0.0670645201184
LLNW,"February 29, 2008",TJ|T100|TVA|TVJ|TV100,0.0148453905768|-0.0476853618762|-0.0717259867224|0.131387004294|0.108062252476|0.055046828973|-0.00903957235797|0.0229027951621|-0.00323114532629|0.087636845145|0.01963547283|-0.0131052378299|-0.0327660475558|-0.102342866147|-0.00894024729306|-0.0418405065907|0.00423088896355|0.0648849685681|0.0244620583098|-0.0732774782787|-0.264590226515|-0.138370900394|0.0868133286979|-0.0439019043491|-0.0485205524117@0.0441213859611
BONT,"April 3, 2014",TJ|T100,0.0757187783636|0.0238615271255|-0.0163700246995|-0.089259903041|0.0917659046364|0.00901105067002|0.025433587662|0.0246936504004|0.0254998404556|0.0267571328414|0.0303382541237|0.048482538452|0.0912809058654|-0.0466818031313|-0.024951516512|0.0140878685395|0.0209550848526|0.0270755077311|0.0358075797701|0.0158686220492|-0.00434460017963|0.013035961051|0.000450049545271|0.0168378030963|-0.0065014163975@0.0307518393219
AAPL,"October 19, 2015",TJ|T100|TVA|TVJ|TV100,0.0110797519743|0.00107099225799|0.0117453882036|0.0136207629243|-0.000645413696919|0.0160766431967|-0.0296409886438|-0.0140387227748|-0.00881238935771|-0.0109922865003|-0.0161262477567|0.0139879190506|-0.0136614053165|-0.0188669115845|0.021772528997|-0.00582748439456|0.0110284690001|-0.00641597399692|-0.00193293739225|-0.0132285352281|0.00644708019015|0.0236323933278|0.0069823859924|-0.00468388147353|0.0165114890245@0.0161257193473
ILMN,"June 19, 2013",TJ|T100|TVA|TVJ|TV100,-0.0133740061739|-0.0143698125751|0.00623624506933|-0.0147625381757|-0.00169982445782|-0.0100508842062|-0.0149150820477|0.00695744674736|-0.00330800020587|-0.00710832343556|0.00955550235511|-0.0189164710566|-0.0191489708677|-0.011105076343|0.00483217984449|-0.00579471775705|-0.0291337070328|0.0150141528272|0.0197827621432|-0.00201367585235|-0.0021505592118|0.0162934335691|0.00423380659564|0.0581402865075|-0.014569345943@0.0224989158044
