Stock_Ticker,Decision_Date,Last_Filing_Days,Category
HPE,"August 9, 2016",4,A2
CBS,"February 10, 2015",97,A2
ORCL,"August 18, 2016",98,A2
FB,"November 17, 2016",476|134,A2
BDC,"April 17, 2015",42,A2
AAPL,"September 10, 2014",92,A2
CTAA,"February 12, 2015",72,A2
CGNX,"December 16, 2013",178,A2
AGYS,"November 29, 2016",235|438,A2
FTR,"July 31, 2015",85,A2
HSNI,"July 31, 2015",85,A2
SYK,"June 27, 2014",119,A2
BMRN,"April 25, 2017",46,A2
BBY,"September 6, 2013",28,A2
WILN,"August 1, 2016",271,A2
SUPN,"June 18, 2012",3,A2
FISV,"October 13, 2016",259|6,A2
MOD,"June 10, 2014",5,A2
MSTR,"December 19, 2014",39,A2
GEVO,"February 10, 2016",6,A2
CTAA,"November 25, 2013",46,A2
IBM,"June 16, 2015",133,A2
SNPS,"October 11, 2016",8,A2
CTXS,"June 16, 2015",133,A2
CRDS,"June 6, 2017",91|260|385,A2
ORCL,"November 29, 2016",235|438,A2
T,"July 31, 2015",85,A2
SNPS,"October 17, 2016",31,A2
ADBE,"June 16, 2015",133,A2
ADBE,"October 2, 2013",209,A2
BDX,"May 9, 2016",5,A2
YHOO,"September 10, 2014",92,A2
LEA,"December 20, 2016",8|279,A2
YHOO,"May 31, 2016",83|418,A2
SPPI,"October 2, 2015",57,A2
WMT,"September 11, 2013",127,A3
PFE,"April 9, 2015",17,A3
MDCO,"April 6, 2017",262|34,A3
EBAY,"May 23, 2017",29,A3
LPL,"June 23, 2014",12,A3
IDCC,"February 12, 2016",126,A3
MSFT,"May 1, 2013",85,A3
MU,"November 16, 2015",39,A3
EBAY,"February 7, 2017",15,A3
ITW,"July 9, 2015",141,A3
CTXS,"October 14, 2014",97,A3
TWTR,"May 10, 2013",46,A3
AVP,"February 12, 2015",125,A3
IPXL,"September 7, 2012",2,A3
HPQ,"June 23, 2015",1,A3
LLNW,"September 17, 2015",112,A3
BCR,"January 13, 2015",158,A3
CME,"April 14, 2015",6,A3
GILD,"December 8, 2014",3,A3
ABBV,"August 21, 2014",77,A3
WMT,"August 5, 2016",14,A3
RTEC,"October 21, 2015",14,A3
RHT,"June 23, 2015",1,A3
AAPL,"February 7, 2017",15,A3
RHT,"July 9, 2015",141,A3
HPQ,"February 7, 2017",15,A3
XLNX,"August 4, 2015",70,A3
XLNX,"October 9, 2015",2,A3
NOK,"December 4, 2014",122,A3
EBAY,"November 16, 2015",39,A3
MSFT,"December 4, 2014",122,A3
MMM,"January 13, 2016",125,A3
IPXL,"February 1, 2013",122,A3
NVS,"June 12, 2015",143,A3
LLNW,"October 9, 2015",2,A3
HPQ,"August 4, 2015",70,A3
INTC,"November 16, 2015",39,A3
LLNW,"November 12, 2015",59,A3
RHT,"December 16, 2015",14,A3
OSTK,"July 11, 2014",252|10|67,A3
XLNX,"February 1, 2016",27,A3
HPQ,"July 9, 2015",141,A3
LLY,"July 8, 2015",75,A3
AAPL,"November 16, 2015",39,A3
FB,"December 16, 2015",14,A3
XLNX,"May 1, 2013",85,A3
UEIC,"October 17, 2016",370|13|264,A3
CRM,"July 10, 2014",100,A3
ABT,"April 4, 2013",2,A3
CSCO,"November 16, 2015",39,A3
ALGN,"November 10, 2015",77,A3
INTU,"May 10, 2013",46,A3
INTC,"July 7, 2014",27,A3
NTGR,"December 4, 2014",122,A3
SNPS,"March 12, 2013",6,A3
TXN,"April 25, 2016",45,A3
SYMC,"September 30, 2016",11|452,A3
ATHX,"May 7, 2015",37,A3
AAPL,"February 17, 2017",9|8,A3
ABT,"April 21, 2014",409,A3
MSFT,"March 19, 2013",13,A3
TWTR,"November 14, 2014",36,A3
PHG,"July 28, 2016",471,A3
CSCO,"August 15, 2014",37,A3
NTGR,"March 16, 2017",72,A3
INTC,"December 4, 2014",122,A3
DD,"November 16, 2012",3,A3
BBBY,"January 24, 2017",11,A3
MSFT,"June 16, 2015",133|50|306,A3
RTEC,"February 3, 2016",2,A3
SNPS,"February 10, 2016",99|510,A3
LLY,"January 12, 2017",127,A3
AAPL,"July 11, 2016",4|287,A3
PFE,"February 6, 2014",94,A3
ITW,"January 13, 2016",125,A3
AAPL,"August 12, 2015",33,A3
SYMC,"November 16, 2015",39,A3
NTAP,"May 9, 2014",156,A3
TXN,"February 12, 2016",126,A3
GRPN,"March 1, 2016",364|368|85,A3
DD,"May 9, 2014",79,A3
AMZN,"November 10, 2014",5,A3
JNJ,"July 9, 2015",141,A3
F,"February 18, 2015",1,A3
WMT,"April 16, 2013",334,A3
F,"September 14, 2015",33,A3
SNPS,"March 16, 2017",72,A3
DPS,"July 10, 2014",100,A3
NOK,"August 5, 2016",11,A3
XLNX,"February 12, 2016",126,A3
CPIX,"January 26, 2017",428|51,A3
ENZ,"March 16, 2015",49,A3
RPRX,"January 7, 2016",2,A3
SSNI,"February 29, 2016",111,A3
HPQ,"December 4, 2014",122,A3
SHPG,"October 13, 2016",10,A3
MSFT,"September 14, 2015",33,A3
MON,"May 9, 2014",79,A3
JNJ,"July 8, 2015",75,A3
CSCO,"December 4, 2014",122,A3
INTC,"February 12, 2016",126,A3
AMGN,"July 5, 2016",92,A3
NTRA,"June 12, 2015",143|163,A3
ABBV,"April 8, 2015",1,A3
LLNW,"February 15, 2017",161,A3
CSCO,"December 3, 2015",38,A3
CAMT,"November 18, 2013",130,A3
AAPL,"July 7, 2014",27,A3
PFE,"January 13, 2016",5|125,A3
MSFT,"May 9, 2014",156,A3
NOK,"December 3, 2015",38,A3
LLNW,"November 16, 2015",39|95,A3
NOK,"February 18, 2015",9,A3
GE,"July 9, 2015",141,A3
BAX,"July 2, 2013",5,A3
NOK,"September 14, 2015",33,A3
INTC,"June 23, 2015",1,A3
VAR,"March 16, 2017",72,A3
NVTA,"June 12, 2015",143,A3
NVS,"May 21, 2015",45|192,A3
NATI,"August 11, 2014",6,A3
BAC,"July 10, 2014",100,A3
LLNW,"May 1, 2013",85,A3
IBM,"May 10, 2013",46,A3
BMY,"January 13, 2016",125,A3
HPQ,"December 3, 2015",38,A3
INTC,"December 3, 2015",38,A3
