Stock_Ticker,Decision_Date,Affirmed_1__NotAff_0,"SM_[-20,0)_2LS"
WMT,"August 5, 2016",0,-0.0031328128855434077
INTC,"July 9, 2015",1,-0.05762904905341387
INTC,"December 28, 2016",1,0.042993747016680864
JKHY,"October 13, 2015",1,0.0769991065023956
JNPR,"October 6, 2016",1,0.059291958284551805
MSFT,"July 11, 2016",1,0.013087259868097514
AAPL,"August 16, 2016",1,0.0976757321431171
NK,"May 3, 2017",1,-0.12070274575971823
WDC,"January 9, 2015",1,0.02719591630961983
LMT,"August 6, 2014",1,0.059991960559758736
ORCL,"November 29, 2016",0,0.054301564179580965
SYMC,"February 2, 2016",0,-0.061368881226157405
NOK,"November 10, 2015",0,0.0725561572558791
LLNW,"May 1, 2013",0,-0.05542980493933082
FLIR,"January 10, 2017",1,-0.02850620955922721
SSNI,"February 29, 2016",0,0.1456030572680878
ILMN,"July 26, 2016",1,0.08106660750563334
ATRS,"November 17, 2014",1,0.13976194237515902
AMZN,"April 14, 2015",1,0.03129322319139282
NOK,"November 18, 2013",0,0.11232910720281411
FDS,"January 27, 2014",1,-0.029805779684078135
NOK,"September 16, 2014",0,0.09940740033161535
NOK,"August 5, 2016",0,0.031396831603902366
ABT,"April 21, 2014",0,0.007464463711282676
CTAA,"February 12, 2015",0,0.10650334380842888
MNTA,"November 10, 2015",0,0.07564933228077156
NUVA,"November 9, 2016",0,-0.08947062625304443
IBM,"May 26, 2017",1,ERROR
BAX,"July 2, 2013",0,0.0016374302720049004
FB,"June 6, 2016",1,0.0055866321260830965
HPQ,"April 25, 2016",1,0.04376713658259695
LKQ,"February 18, 2015",1,0.06787380359030992
LEA,"December 20, 2016",1,0.06946962078928796
AMZN,"September 23, 2016",1,0.06077610215713023
RHT,"July 9, 2015",1,-0.017997420973640883
TDC,"December 19, 2014",0,-0.040570695222237996
INTC,"August 13, 2015",0,0.0004960518788056506
NTAP,"November 16, 2015",0,-0.07711476907040546
PIR,"November 7, 2013",1,0.0971148346560562
AAPL,"December 16, 2015",0,-0.03285119589050925
MU,"March 12, 2015",1,-0.10897667404634544
MU,"August 19, 2016",0,0.1794088719005861
ORCL,"November 17, 2016",0,0.03459661825872917
FB,"February 25, 2016",1,0.09349671840724114
NOK,"February 18, 2015",1,0.06155787980945854
RCII,"April 25, 2016",1,0.004601148583412309
MSFT,"May 9, 2016",1,-0.0769388492552682
AAPL,"April 25, 2016",1,9.468100498775814e-05
BKS,"December 30, 2014",1,0.005975367128454394
CSCO,"November 16, 2015",0,-0.07495250351211248
PHG,"May 10, 2013",1,-0.09031843625031989
CSCO,"August 15, 2014",0,-0.04345892268360444
TXN,"August 13, 2015",0,0.03902175728797782
AAPL,"February 17, 2017",1,0.12653353301998113
BMRN,"April 25, 2017",0,0.06802327643838134
PFE,"July 9, 2015",1,-0.016602633742605566
DEPO,"February 21, 2017",1,-0.07709607441600375
HPQ,"May 26, 2016",1,-0.04487947700646318
HPQ,"March 19, 2013",1,0.31359791439783147
WILN,"January 8, 2016",0,0.01678930184057819
CTXS,"April 11, 2013",1,-0.07426379924598808
COF,"July 6, 2015",1,0.05983941165330553
LPL,"September 15, 2015",1,0.07900158316512594
IDCC,"February 12, 2016",0,-0.05891409334318519
CRM,"July 10, 2014",0,0.028610478564639708
RHT,"December 16, 2015",0,-0.013108657824879263
MSFT,"May 1, 2013",0,0.13915788524514683
ABBV,"August 21, 2014",1,0.010589962342179725
INTC,"March 9, 2015",1,-0.022345631714218946
CTXS,"March 19, 2013",1,-0.005938830206012942
JNJ,"April 4, 2013",0,0.05523216287670288
TXN,"April 25, 2016",1,0.03432466387366668
AAPL,"July 11, 2016",1,-0.030257407438476658
MSFT,"October 3, 2013",0,0.08358686151048222
IGT,"March 13, 2013",0,0.030278436531775876
CBSH,"March 27, 2017",0,-0.07129928959259593
ZNGA,"November 16, 2015",0,2.2551405187698492e-17
IPXL,"February 1, 2013",1,-0.024499020488324252
BBBY,"December 16, 2015",1,-0.010739687262246599
CAR,"February 26, 2014",1,0.2019817794758131
AAPL,"April 14, 2017",1,ERROR
ATHN,"April 12, 2017",1,0.014813804798572616
SHLD,"April 10, 2015",0,0.1535366122738645
CME,"April 14, 2015",1,-0.05084235067412963
AAPL,"January 27, 2017",1,0.03913547574142752
DAL,"June 24, 2014",1,-0.0023008974930072484
KODK,"December 21, 2016",1,0.13185213110480223
IDT,"May 20, 2013",0,0.23996061449719125
